"country","country_text_id","year","regions","classification_core","na_count","decision_freedom_trade_off","decision_equality_trade_off","decision_control_trade_off","intermediate_freedom_trade_off","intermediate_equality_trade_off","intermediate_control_trade_off","communication_freedom_trade_off","communication_equality_trade_off","communication_control_trade_off","rights_freedom_trade_off","rights_equality_trade_off","rights_control_trade_off","rule_settlement_freedom_trade_off","rule_settlement_equality_trade_off","rule_settlement_control_trade_off","freedom_dim_index_trade_off","equality_dim_index_trade_off","control_dim_index_trade_off","decision_inst_index_trade_off","intermediate_inst_index_trade_off","communication_inst_index_trade_off","rights_inst_index_trade_off","rule_settlement_inst_index_trade_off","total_index_trade_off"
"Albania","ALB",1992,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.328896001814901,0.479782186545274,0.671888585962285,0.900404573603196,0.67388451475055,0.70634299722481,0.788295703555115,0.480570550603765,0.730572535407602,0.582253656014021,0.652230807350656,0.504284149367768,0.648811702135683,0.527514778851566,0.634499658450639,0.615294834155472,0.427218151359351,0.662104223706642,0.721268158593496,0.589084469409881,0.597583274144132,0.590540604518981
"Albania","ALB",1993,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312557378677676,0.498784165179003,0.671888585962285,0.900404573603196,0.59244808133609,0.63851923874727,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.556903502291505,0.520730130873998,0.518109198820214,0.644564660122278,0.585808035754095,0.420023333189725,0.670732274586657,0.673756305549492,0.605083176380431,0.574025680071064,0.580516238825449
"Albania","ALB",1994,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312656969579919,0.493051589885152,0.681821713350889,0.887675209670173,0.59244808133609,0.649536637270671,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.506155884750851,0.668373898775641,0.516912749781473,0.636396825708769,0.614083786506247,0.420067939464182,0.668250195087535,0.677609362225452,0.605083176380431,0.604275556219228,0.586756118088006
"Albania","ALB",1995,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312656969579919,0.534076466033221,0.681821713350889,0.878468554772618,0.604994432127018,0.649536637270671,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.47241427420619,0.668373898775641,0.527448031608466,0.6276763263584,0.612804656579883,0.420067939464182,0.683911904128561,0.682359262751529,0.605083176380431,0.590538115495559,0.587596446262572
"Albania","ALB",2001,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.453114816030122,0.627178577167061,0.707366583057783,0.916434145493474,0.710397627664538,0.771015518334528,0.758751512640771,0.62120466811017,0.857650872635305,0.573720570700154,0.701905567515406,0.621650100529071,0.73902737232809,0.587871564582713,0.695951675393562,0.668580965749118,0.451351835581435,0.740819386757501,0.746256391655027,0.673620386277448,0.68574356343807,0.649140215830199
"Albania","ALB",2002,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.464312768451941,0.669002048361115,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.644461247961168,0.857650872635305,0.573720570700154,0.701904372460037,0.621650100529071,0.73902737232809,0.600206201534618,0.697246397379906,0.671853340702779,0.455039748057357,0.759281946106691,0.746882427427236,0.681923914695704,0.685743174258466,0.655119328243008
"Albania","ALB",2003,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.464316988861569,0.69455973270371,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.620168565391285,0.857650872635305,0.573720570700154,0.701903255938597,0.621650100529071,0.73902737232809,0.600094103271862,0.697246397379906,0.671854562071732,0.455041126760425,0.768830242248208,0.746882427427236,0.673245669033603,0.685742810653682,0.655078937934184
"Albania","ALB",2004,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.465750440802081,0.696589633980294,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.620168565391285,0.857650872635305,0.609914438683199,0.741316808249391,0.621650100529071,0.73902737232809,0.607041187125232,0.697246397379906,0.6805447830831,0.455508917447719,0.769578501185993,0.746882427427236,0.687115479585108,0.69834515840948,0.66042025143492
"Albania","ALB",2005,"Europe","Deficient Democracy",0,0.443614085439894,0.586066269277275,0.465754160417006,0.691615458198832,0.702627970437018,0.930524981635345,0.714183031742484,0.768946811264466,0.78837201696338,0.620168565391285,0.857650872635305,0.609914438683199,0.751432521251816,0.642582765010328,0.711655988167791,0.633601003655559,0.70528007322939,0.682701725778571,0.494731540718583,0.76754890121755,0.75650594081448,0.687115479585108,0.700427285645804,0.673187676246471
"Albania","ALB",2006,"Europe","Deficient Democracy",0,0.443614085439894,0.586066269277275,0.465756512706306,0.710387246085443,0.702627970437018,0.930524981635345,0.714183031742484,0.767960703886405,0.757323361714653,0.620168565391285,0.857650872635305,0.609914438683199,0.75143186601932,0.628780338784276,0.711655988167791,0.637003580761849,0.702043672166299,0.677238236305283,0.494732373596991,0.774431261271135,0.746122196157153,0.687115479585108,0.695375774340325,0.6715563978768
