"";"varnames";"Estimate"
"1";"(Intercept)";"8.344*** (0.934)"
"2";"Gini_lag";"0.791*** (0.015)"
"3";"poly(trend, 2)1";"0.672  (10.401)"
"4";"poly(trend, 2)2";"7.526* (3.377)"
"5";"gdp_capita_lag";"0.184  (0.236)"
"6";"log_pop_lag";"-0.035  (0.069)"
"7";"age65_lag";"-0.061  (0.042)"
"8";"cso_lag";"-0.258  (0.435)"
"9";"gdp_export_lag";"-0.017** (0.006)"
"10";"classification_lagWorking Democracy";"-0.37  (0.265)"
"11";"regionEastern Europe and Central Asia";"0.283  (0.422)"
"12";"regionLatin America";"3.092*** (0.545)"
"13";"regionThe Middle East and North Africa/MENA";"0.251  (0.689)"
"14";"regionSub-Saharan Africa";"3.27*** (0.715)"
"15";"regionEast Asia";"-0.471  (0.623)"
"16";"regionSouth Asia";"-0.541  (0.732)"
"17";"regionThe Caribbean";"2.412* (1.128)"
"18";"mod_cluster_1stfEC";"-0.133  (0.245)"
"19";"mod_cluster_1stFec";"0.727* (0.3)"
"20";"mod_cluster_1stFeC";"0.349  (0.379)"
"21";"mod_cluster_1stFEC";"0.075  (0.232)"
