"country","country_text_id","year","regions","na_count","classification_core","freedom","equality","control","cluster_1st","X1","X2","X3","X4","cluster_label_1st"
"Albania","ALB",1992,"Europe",0,"Deficient Democracy",0.527514778851566,0.634499658450639,0.615294834155472,1,0.843627705801072,0.120896128097118,0.0168828109473014,0.0185933551545083,"fEC"
"Albania","ALB",1993,"Europe",0,"Deficient Democracy",0.518109198820214,0.644564660122278,0.585808035754095,2,0.306982854282163,0.63027852059097,0.0257606543076146,0.0369779708192522,"fEc"
"Albania","ALB",1994,"Europe",0,"Deficient Democracy",0.516912749781473,0.636396825708769,0.614083786506247,1,0.834384206964518,0.128607479052035,0.0175554474872442,0.0194528664962027,"fEC"
"Albania","ALB",1995,"Europe",0,"Deficient Democracy",0.527448031608466,0.6276763263584,0.612804656579883,1,0.879629878107281,0.0913159003897714,0.0140147296042494,0.0150394918986986,"fEC"
"Albania","ALB",2001,"Europe",0,"Deficient Democracy",0.587871564582713,0.695951675393562,0.668580965749118,1,0.734008633347847,0.215042476344189,0.0234343305721441,0.0275145597358199,"fEC"
"Albania","ALB",2002,"Europe",0,"Deficient Democracy",0.600206201534618,0.697246397379906,0.671853340702779,1,0.719379992191072,0.228020079795278,0.0240952348896686,0.028504693123982,"fEC"
"Albania","ALB",2003,"Europe",0,"Deficient Democracy",0.600094103271862,0.697246397379906,0.671854562071732,1,0.719932838242877,0.227527966839491,0.0240710935061811,0.0284681014114501,"fEC"
"Albania","ALB",2004,"Europe",0,"Deficient Democracy",0.607041187125232,0.697246397379906,0.6805447830831,1,0.836448702219622,0.126881240469315,0.0174073468761158,0.0192627104349469,"fEC"
"Albania","ALB",2005,"Europe",0,"Deficient Democracy",0.633601003655559,0.70528007322939,0.682701725778571,1,0.618510203862579,0.319923316025031,0.0274601443402731,0.0341063357721161,"fEC"
"Albania","ALB",2006,"Europe",0,"Deficient Democracy",0.637003580761849,0.702043672166299,0.677238236305283,1,0.479555659501875,0.453231077583821,0.028938285246528,0.0382749776677761,"fEC"
"Albania","ALB",2007,"Europe",0,"Deficient Democracy",0.638638398301267,0.706232089635074,0.67410764105611,2,0.286625036138583,0.65212661021474,0.0249912612732857,0.0362570923733911,"fEc"
"Albania","ALB",2008,"Europe",0,"Deficient Democracy",0.640072311872427,0.706232089635074,0.674108269807687,2,0.267430345408619,0.672940250643569,0.0241817955107935,0.0354476084370186,"fEc"
