"country","country_text_id","year","regions","classification_core","na_count","decision_freedom_trade_off","decision_equality_trade_off","decision_control_trade_off","intermediate_freedom_trade_off","intermediate_equality_trade_off","intermediate_control_trade_off","communication_freedom_trade_off","communication_equality_trade_off","communication_control_trade_off","rights_freedom_trade_off","rights_equality_trade_off","rights_control_trade_off","rule_settlement_freedom_trade_off","rule_settlement_equality_trade_off","rule_settlement_control_trade_off","freedom","equality","control","decision_inst_index_trade_off","intermediate_inst_index_trade_off","communication_inst_index_trade_off","rights_inst_index_trade_off","rule_settlement_inst_index_trade_off","total_index_trade_off","Cluster2","Cluster3","Cluster4","Cluster5","mp_Cluster2_fEc","mp_Cluster2_Fec","mp_Cluster3_FeC","mp_Cluster3_fEC","mp_Cluster3_FEc","mp_Cluster4_fEc","mp_Cluster4_Fec","mp_Cluster4_fEC","mp_Cluster4_FeC","mp_Cluster5_FEC","mp_Cluster5_fEc","mp_Cluster5_Fec","mp_Cluster5_FeC","mp_Cluster5_fEC"
"Albania","ALB",1992,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.328896001814901,0.479782186545274,0.671888585962285,0.900404573603196,0.67388451475055,0.70634299722481,0.788295703555115,0.480570550603765,0.730572535407602,0.582253656014021,0.652230807350656,0.504284149367768,0.648811702135683,0.527514778851566,0.634499658450639,0.615294834155472,0.427218151359351,0.662104223706642,0.721268158593496,0.589084469409881,0.597583274144132,0.590540604518981,"fEc","fEC","fEC","fEC",0.881818085339404,0.118181914660596,0.0158796898462068,0.943190006873301,0.0409303032804924,0.0801809244662943,0.0220829766221418,0.886415597047321,0.0113205018642431,0.12837627793261,0.137174427623846,0.0295455247298428,0.0195592266815709,0.68534454303213
"Albania","ALB",1993,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312557378677676,0.498784165179003,0.671888585962285,0.900404573603196,0.59244808133609,0.63851923874727,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.556903502291505,0.520730130873998,0.518109198820214,0.644564660122278,0.585808035754095,0.420023333189725,0.670732274586657,0.673756305549492,0.605083176380431,0.574025680071064,0.580516238825449,"fEc","fEC","fEc","fEc",0.955419381085842,0.044580618914158,0.00740215125486924,0.962634896229946,0.0299629525151846,0.582967523914253,0.0658059951121812,0.326715192034511,0.0245112889390546,0.169594759378402,0.56789787547875,0.0414428473148819,0.0201211004571379,0.200943417370829
"Albania","ALB",1994,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312656969579919,0.493051589885152,0.681821713350889,0.887675209670173,0.59244808133609,0.649536637270671,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.506155884750851,0.668373898775641,0.516912749781473,0.636396825708769,0.614083786506247,0.420067939464182,0.668250195087535,0.677609362225452,0.605083176380431,0.604275556219228,0.586756118088006,"fEc","fEC","fEC","fEC",0.869354629750765,0.130645370249235,0.0209576681860507,0.927772350068845,0.0512699817451045,0.105039235592748,0.0291327105098464,0.850246940484793,0.0155811134126126,0.0958641331394752,0.119210499269558,0.0250923035348015,0.017075491557585,0.742757572498581
"Albania","ALB",1995,"Europe","Deficient Democracy",0,0.40307429076057,0.588173422993431,0.312656969579919,0.534076466033221,0.681821713350889,0.878468554772618,0.604994432127018,0.649536637270671,0.808507854830094,0.480570550603765,0.791727730140375,0.582253656014021,0.652230807350656,0.47241427420619,0.668373898775641,0.527448031608466,0.6276763263584,0.612804656579883,0.420067939464182,0.683911904128561,0.682359262751529,0.605083176380431,0.590538115495559,0.587596446262572,"fEc","fEC","fEC","fEC",0.875540214737814,0.124459785262186,0.0196146800255668,0.93076124249719,0.0496240774772437,0.055101260059864,0.0161567759488657,0.920372562683365,0.00836940130790475,0.135352791088295,0.126914252829509,0.0296554054996676,0.0199282075875536,0.688149342994975
"Albania","ALB",2001,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.453114816030122,0.627178577167061,0.707366583057783,0.916434145493474,0.710397627664538,0.771015518334528,0.758751512640771,0.62120466811017,0.857650872635305,0.573720570700154,0.701905567515406,0.621650100529071,0.73902737232809,0.587871564582713,0.695951675393562,0.668580965749118,0.451351835581435,0.740819386757501,0.746256391655027,0.673620386277448,0.68574356343807,0.649140215830199,"fEc","fEC","fEC","fEC",0.911682903059226,0.0883170969407741,0.00607833258417822,0.976015436202698,0.0179062312131238,0.164878034258956,0.0380919916021193,0.779298673567183,0.017731300571742,0.181970983948336,0.219735895335241,0.0394272841250908,0.0239293960455946,0.534936440545737
"Albania","ALB",2002,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.464312768451941,0.669002048361115,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.644461247961168,0.857650872635305,0.573720570700154,0.701904372460037,0.621650100529071,0.73902737232809,0.600206201534618,0.697246397379906,0.671853340702779,0.455039748057357,0.759281946106691,0.746882427427236,0.681923914695704,0.685743174258466,0.655119328243008,"fEc","fEC","fEC","fEC",0.925359047249368,0.0746409527506322,0.00667306417321577,0.971950552134615,0.0213763836921696,0.195251366303101,0.0446949815228902,0.740544781452134,0.0195088707218745,0.247253609617493,0.244484653702331,0.0455111967746707,0.026377627495599,0.436372912409907
"Albania","ALB",2003,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.464316988861569,0.69455973270371,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.620168565391285,0.857650872635305,0.573720570700154,0.701903255938597,0.621650100529071,0.73902737232809,0.600094103271862,0.697246397379906,0.671854562071732,0.455041126760425,0.768830242248208,0.746882427427236,0.673245669033603,0.685742810653682,0.655078937934184,"fEc","fEC","fEC","fEC",0.925156745401483,0.0748432545985169,0.00664889097247713,0.972080811889321,0.0212702971382015,0.194433577920496,0.0445279694436894,0.741582885201836,0.0194555674339777,0.24631228517169,0.244082643891711,0.0454321818100322,0.0263521767149149,0.437820712411652
"Albania","ALB",2004,"Europe","Deficient Democracy",0,0.361414983257902,0.561476032894225,0.465750440802081,0.696589633980294,0.713970899451935,0.916434145493474,0.71218698930395,0.771015518334528,0.758751512640771,0.620168565391285,0.857650872635305,0.609914438683199,0.741316808249391,0.621650100529071,0.73902737232809,0.607041187125232,0.697246397379906,0.6805447830831,0.455508917447719,0.769578501185993,0.746882427427236,0.687115479585108,0.69834515840948,0.66042025143492,"fEc","fEC","fEC","fEC",0.898539947548513,0.101460052451487,0.0168800034234266,0.93455360673374,0.0485663898428332,0.111083181261746,0.0309735412124951,0.843432165222168,0.0145111123035907,0.236275605651881,0.186809764325265,0.0428972648096049,0.0266289996184024,0.507388365594847
"Albania","ALB",2005,"Europe","Deficient Democracy",0,0.443614085439894,0.586066269277275,0.465754160417006,0.691615458198832,0.702627970437018,0.930524981635345,0.714183031742484,0.768946811264466,0.78837201696338,0.620168565391285,0.857650872635305,0.609914438683199,0.751432521251816,0.642582765010328,0.711655988167791,0.633601003655559,0.70528007322939,0.682701725778571,0.494731540718583,0.76754890121755,0.75650594081448,0.687115479585108,0.700427285645804,0.673187676246471,"fEc","fEC","fEC","FEC",0.935302145301245,0.064697854698755,0.0348934802660353,0.8164115641319,0.148694955602064,0.368370397494992,0.0980180844442106,0.499289001651843,0.0343225164089537,0.517601088308722,0.216368859677664,0.052386268065877,0.0258283975268489,0.187815386420888
"Albania","ALB",2006,"Europe","Deficient Democracy",0,0.443614085439894,0.586066269277275,0.465756512706306,0.710387246085443,0.702627970437018,0.930524981635345,0.714183031742484,0.767960703886405,0.757323361714653,0.620168565391285,0.857650872635305,0.609914438683199,0.75143186601932,0.628780338784276,0.711655988167791,0.637003580761849,0.702043672166299,0.677238236305283,0.494732373596991,0.774431261271135,0.746122196157153,0.687115479585108,0.695375774340325,0.6715563978768,"fEc","fEC","fEc","FEC",0.935294425949374,0.0647055740506258,0.0470709638926779,0.709193168287419,0.243735867819903,0.450458309368408,0.126671263065864,0.384200880718739,0.0386695468469891,0.642970988052923,0.17606397112736,0.046594472678874,0.0206509397856185,0.113719628355225
