"country","country_text_id","year","regions","na_count","classification_core","freedom","equality","control","cluster_1st","X1","X2","X3","X4","cluster_label_1st"
"Albania","ALB",1992,"Europe",0,"Deficient Democracy",0.527514778851566,0.634499658450639,0.615294834155472,1,0.854429504942712,0.10978133866816,0.017369344318173,0.0184198120709552,"fEC"
"Albania","ALB",1993,"Europe",0,"Deficient Democracy",0.518109198820214,0.644564660122278,0.585808035754095,2,0.34008680614929,0.590376428154017,0.0289686946228138,0.0405680710738791,"fEc"
"Albania","ALB",1994,"Europe",0,"Deficient Democracy",0.516912749781473,0.636396825708769,0.614083786506247,1,0.845793528984127,0.11682856461643,0.0180802588251684,0.0192976475742747,"fEC"
"Albania","ALB",1995,"Europe",0,"Deficient Democracy",0.527448031608466,0.6276763263584,0.612804656579883,1,0.88803676779646,0.0827884289412525,0.0143582996262056,0.0148165036360817,"fEC"
"Albania","ALB",2001,"Europe",0,"Deficient Democracy",0.587871564582713,0.695951675393562,0.668580965749118,1,0.751759207465241,0.196140338451126,0.0244108060955461,0.0276896479880865,"fEC"
"Albania","ALB",2002,"Europe",0,"Deficient Democracy",0.600206201534618,0.697246397379906,0.671853340702779,1,0.738006097861197,0.208104764839322,0.0251425502787501,0.0287465870207316,"fEC"
"Albania","ALB",2003,"Europe",0,"Deficient Democracy",0.600094103271862,0.697246397379906,0.671854562071732,1,0.738526123259185,0.207650777224724,0.0251157105384645,0.0287073889776267,"fEC"
"Albania","ALB",2004,"Europe",0,"Deficient Democracy",0.607041187125232,0.697246397379906,0.6805447830831,1,0.84772261758573,0.115250617667254,0.017923556284527,0.0191032084624893,"fEC"
"Albania","ALB",2005,"Europe",0,"Deficient Democracy",0.633601003655559,0.70528007322939,0.682701725778571,1,0.642713881940612,0.293335779221868,0.0290243977376384,0.0349259410998821,"fEC"
"Albania","ALB",2006,"Europe",0,"Deficient Democracy",0.637003580761849,0.702043672166299,0.677238236305283,1,0.50967247640052,0.418876115403555,0.0312646220856569,0.0401867861102682,"fEC"
"Albania","ALB",2007,"Europe",0,"Deficient Democracy",0.638638398301267,0.706232089635074,0.67410764105611,2,0.319637896603229,0.612027348697477,0.0282833098123788,0.0400514448869147,"fEc"
"Albania","ALB",2008,"Europe",0,"Deficient Democracy",0.640072311872427,0.706232089635074,0.674108269807687,2,0.300248737509778,0.63277342928656,0.0275459900761712,0.0394318431274909,"fEc"
"Albania","ALB",2009,"Europe",0,"Deficient Democracy",0.622914800283952,0.730422430923015,0.686657214314183,2,0.456449898522965,0.471247254002136,0.0311728555347734,0.0411299919401256,"fEc"
"Albania","ALB",2010,"Europe",0,"Deficient Democracy",0.623582601091834,0.72639423880256,0.685800421179769,1,0.48182785132514,0.446117779488508,0.0312868052996603,0.0407675638866916,"fEC"
"Albania","ALB",2011,"Europe",0,"Deficient Democracy",0.623582526735859,0.72639423880256,0.685800882053123,1,0.481837732295425,0.446108051593206,0.0312868246989594,0.0407673914124098,"fEC"
"Albania","ALB",2012,"Europe",0,"Deficient Democracy",0.622383910879769,0.72639423880256,0.685801329568518,1,0.491274017246734,0.436837776358775,0.0312965042463893,0.0405917021481013,"fEC"
"Albania","ALB",2013,"Europe",0,"Deficient Democracy",0.614754519035019,0.66056763917569,0.653343366820904,1,0.878582201837415,0.0903098633497225,0.0152467354791958,0.0158611993336669,"fEC"
"Albania","ALB",2014,"Europe",0,"Deficient Democracy",0.615645144285595,0.673534288271819,0.676973311192569,1,0.99006093498297,0.00647007441918641,0.00184982985835279,0.00161916073949075,"fEC"
"Albania","ALB",2015,"Europe",0,"Deficient Democracy",0.615670075553443,0.673628724686541,0.682180461101204,1,0.990917952007479,0.00562276401389383,0.00189676659849929,0.0015625173801279,"fEC"
