"country","country_text_id","year","regions","classification_context","freedom","equality","control","cluster_1st","cluster_2nd","X1","X2","X3","X4","cluster_label_1st","cluster_label_2nd"
"Albania","ALB",2005,"Europe","Deficient Democracy",0.633601003655559,0.70528007322939,0.682701725778571,1,1,0.900930985326168,0.0787252476224639,0.00967172033016644,0.0106720467212019,"fEC","fEc"
"Albania","ALB",2006,"Europe","Deficient Democracy",0.637003580761849,0.702043672166299,0.677238236305283,1,1,0.803843295257261,0.162394603654528,0.0155901641127582,0.0181719369754525,"fEC","fEc"
"Albania","ALB",2007,"Europe","Deficient Democracy",0.638638398301267,0.706232089635074,0.67410764105611,1,1,0.605195074621074,0.345038417799126,0.0219940009973398,0.0277725065824606,"fEC","fEc"
"Albania","ALB",2008,"Europe","Deficient Democracy",0.640072311872427,0.706232089635074,0.674108269807687,1,1,0.580401778800177,0.368755687992354,0.0223578520094721,0.0284846811979972,"fEC","fEc"
"Albania","ALB",2009,"Europe","Deficient Democracy",0.622914800283952,0.730422430923015,0.686657214314183,1,1,0.755765959589906,0.205324407849448,0.0177578689059917,0.0211517636546549,"fEC","fEc"
"Albania","ALB",2010,"Europe","Deficient Democracy",0.623582601091834,0.72639423880256,0.685800421179769,1,1,0.779377993686782,0.184129705179913,0.0167483869866849,0.0197439141466203,"fEC","fEc"
"Albania","ALB",2011,"Europe","Deficient Democracy",0.623582526735859,0.72639423880256,0.685800882053123,1,1,0.77938694074822,0.184121713930256,0.0167479847256085,0.019743360595916,"fEC","fEc"
"Albania","ALB",2012,"Europe","Deficient Democracy",0.622383910879769,0.72639423880256,0.685801329568518,1,1,0.787844857355184,0.176581143690561,0.0163608433364676,0.019213155617787,"fEC","fEc"
"Albania","ALB",2014,"Europe","Deficient Democracy",0.615645144285595,0.673534288271819,0.676973311192569,1,2,0.947731821682593,0.0328518414615684,0.0105280368316117,0.00888830002422685,"fEC","fEC"
"Albania","ALB",2015,"Europe","Deficient Democracy",0.615670075553443,0.673628724686541,0.682180461101204,1,2,0.914052289778673,0.05137862212524,0.019185891969222,0.0153831961268647,"fEC","fEC"
"Albania","ALB",2016,"Europe","Deficient Democracy",0.615600076673426,0.673128258619165,0.680048349816997,1,2,0.924714989856201,0.0456933577008539,0.0163100602898599,0.013281592153085,"fEC","fEC"
"Albania","ALB",2017,"Europe","Deficient Democracy",0.632115696451281,0.692930775039832,0.640761713574196,2,1,0.011733559089842,0.983444889502369,0.00174730053861344,0.00307425086917522,"fEc","fEc"
"Argentina","ARG",1917,"Latin America","Deficient Democracy",0.621111854924539,0.526170697711085,0.681881551450092,3,3,0.0849861810301382,0.0548832223105963,0.779587903704827,0.0805426929544389,"FeC","FeC"
"Argentina","ARG",1918,"Latin America","Deficient Democracy",0.619190184756256,0.536052739282357,0.677494227373037,3,3,0.0928107933672311,0.0591254363858166,0.763266477341063,0.0847972929058892,"FeC","FeC"
"Argentina","ARG",1919,"Latin America","Deficient Democracy",0.61043126624873,0.536261943187953,0.677494227373037,3,3,0.116912805678018,0.0715432250364101,0.715442201280662,0.0961017680049107,"FeC","FeC"
"Argentina","ARG",1920,"Latin America","Deficient Democracy",0.618933797252747,0.536981699994632,0.67741923250716,3,3,0.0943609061320975,0.0599532491474769,0.760082138880621,0.0856037058398044,"FeC","FeC"
